"Tshirt_name","Tshirt_image","Tshirt_rating","Tshirt_no_of_ratings","Tshirt_cstmr_rating_name","Tshirt_cstmr_rating_cstmr_review","Tshirt_cstmr_rating_date"
"Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/41xe2Ki9VxL._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","3,660","4.0 out of 5 stars","Value for money.","Reviewed in India on 5 January 2019"
"Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/41xe2Ki9VxL._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","3,660","5.0 out of 5 stars","Nice if re-purposed as vests","Reviewed in India on 2 September 2018"
"Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/41xe2Ki9VxL._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","3,660","5.0 out of 5 stars","Justify the price","Reviewed in India on 15 November 2018"
"Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/41xe2Ki9VxL._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","3,660","5.0 out of 5 stars","Rs530 for 3 t-shirts good deal","Reviewed in India on 22 January 2019"
"Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/41xe2Ki9VxL._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","3,660","5.0 out of 5 stars","Very Qualitative","Reviewed in India on 1 December 2018"
"Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/41xe2Ki9VxL._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","3,660","4.0 out of 5 stars","GOOD","Reviewed in India on 9 July 2019"
"Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/41xe2Ki9VxL._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","3,660","1.0 out of 5 stars","Horrible fit. Tent house stuff.","Reviewed in India on 3 June 2019"
"Chromozome Men's Plain Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/41xe2Ki9VxL._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","3,660","3.0 out of 5 stars","Worth a try","Reviewed in India on 25 January 2019"
"Scott International Men's Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/517uNF1t-EL._AC_UL260_SR200,260_.jpg","3.4 out of 5 stars","500","1.0 out of 5 stars","DON'T BUY THIS PRODUCT","Reviewed in India on 5 March 2020"
"Scott International Men's Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/517uNF1t-EL._AC_UL260_SR200,260_.jpg","3.4 out of 5 stars","500","3.0 out of 5 stars","Too large for me","Reviewed in India on 24 February 2020"
"Scott International Men's Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/517uNF1t-EL._AC_UL260_SR200,260_.jpg","3.4 out of 5 stars","500","3.0 out of 5 stars","Two black and one gray color come","Reviewed in India on 29 February 2020"
"Scott International Men's Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/517uNF1t-EL._AC_UL260_SR200,260_.jpg","3.4 out of 5 stars","500","5.0 out of 5 stars","Perfect thanks","Reviewed in India on 8 March 2020"
"Scott International Men's Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/517uNF1t-EL._AC_UL260_SR200,260_.jpg","3.4 out of 5 stars","500","3.0 out of 5 stars","Average quality at prize point","Reviewed in India on 23 May 2020"
"Scott International Men's Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/517uNF1t-EL._AC_UL260_SR200,260_.jpg","3.4 out of 5 stars","500","1.0 out of 5 stars","Not 100% cotton - don't buy pls","Reviewed in India on 25 May 2020"
"Scott International Men's Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/517uNF1t-EL._AC_UL260_SR200,260_.jpg","3.4 out of 5 stars","500","3.0 out of 5 stars","They had the size issues.","Reviewed in India on 22 June 2020"
"Scott International Men's Regular Fit T-Shirt (Pack of 3)","https://images-eu.ssl-images-amazon.com/images/I/517uNF1t-EL._AC_UL260_SR200,260_.jpg","3.4 out of 5 stars","500","5.0 out of 5 stars","Value for money","Reviewed in India on 3 March 2020"
"BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt - Combo Tshirt - Pack of 3","https://images-eu.ssl-images-amazon.com/images/I/51OGzf-OF9L._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","17","4.0 out of 5 stars","Nice product","Reviewed in India on 11 June 2020"
"BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt - Combo Tshirt - Pack of 3","https://images-eu.ssl-images-amazon.com/images/I/51OGzf-OF9L._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","17","5.0 out of 5 stars","Loved them","Reviewed in India on 5 July 2020"
"BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt - Combo Tshirt - Pack of 3","https://images-eu.ssl-images-amazon.com/images/I/51OGzf-OF9L._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","17","5.0 out of 5 stars","Value for money","Reviewed in India on 4 July 2020"
"BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt - Combo Tshirt - Pack of 3","https://images-eu.ssl-images-amazon.com/images/I/51OGzf-OF9L._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","17","3.0 out of 5 stars","Ok","Reviewed in India on 20 June 2020"
"BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt - Combo Tshirt - Pack of 3","https://images-eu.ssl-images-amazon.com/images/I/51OGzf-OF9L._AC_UL260_SR200,260_.jpg","3.9 out of 5 stars","17","1.0 out of 5 stars","Don't purchase !!","Reviewed in India on 4 July 2020"
